,gravedad
0,Fatal
1,Fatal
2,Fatal
3,Fatal
4,Fatal
5,Fatal
6,Fatal
7,Fatal
8,Fatal
9,Fatal
10,Fatal
11,Fatal
12,Fatal
13,Fatal
14,Fatal
15,Fatal
16,Fatal
17,Fatal
18,Fatal
19,Fatal
20,Fatal
21,Fatal
22,Fatal
23,Fatal
24,Fatal
25,Fatal
26,Fatal
27,Fatal
28,Fatal
29,Fatal
30,Fatal
31,Fatal
32,Fatal
33,Fatal
34,Fatal
35,Fatal
36,Fatal
37,Fatal
38,Fatal
39,Fatal
40,Fatal
41,Fatal
42,Fatal
43,Fatal
44,Fatal
45,Fatal
46,Fatal
47,Fatal
48,Fatal
49,Fatal
50,Fatal
51,Fatal
52,Fatal
53,Fatal
54,Fatal
55,Fatal
56,Fatal
57,Fatal
58,Fatal
59,Fatal
60,Fatal
61,Fatal
62,Fatal
63,Fatal
64,Fatal
65,Fatal
66,Fatal
67,Fatal
68,Fatal
69,Fatal
70,Fatal
71,Fatal
72,Fatal
73,Fatal
74,Fatal
75,Fatal
76,Fatal
77,Fatal
78,Fatal
79,Fatal
80,Fatal
81,Fatal
82,Fatal
83,Fatal
84,Fatal
85,Fatal
86,Fatal
87,Fatal
88,Fatal
89,Fatal
90,Fatal
91,Fatal
92,Fatal
93,Fatal
94,Fatal
95,Fatal
96,Fatal
97,Fatal
98,Fatal
99,Fatal
100,Fatal
101,Fatal
102,Fatal
103,Fatal
104,Fatal
105,Fatal
106,Fatal
107,Fatal
108,Fatal
109,Fatal
110,Fatal
111,Fatal
112,Fatal
113,Fatal
114,Fatal
115,Fatal
116,Fatal
117,Fatal
118,Fatal
119,Fatal
120,Fatal
121,Fatal
122,Fatal
123,Fatal
124,Fatal
125,Fatal
126,Fatal
127,Fatal
128,Fatal
129,Fatal
130,Fatal
131,Fatal
132,Fatal
133,Fatal
134,Fatal
135,Fatal
136,Fatal
137,Fatal
138,Fatal
139,Fatal
140,Fatal
141,Fatal
142,Fatal
143,Fatal
144,Fatal
145,Fatal
146,Fatal
147,Fatal
148,Fatal
149,Fatal
150,Fatal
151,Fatal
152,Fatal
153,Fatal
154,Fatal
155,Fatal
156,Fatal
157,Fatal
158,Fatal
159,Fatal
160,Fatal
161,Fatal
162,Fatal
163,Fatal
164,Fatal
165,Fatal
166,Fatal
167,Fatal
168,Fatal
169,Fatal
170,Fatal
171,Fatal
172,Fatal
173,Fatal
174,Fatal
175,Fatal
176,Fatal
177,Fatal
178,Fatal
179,Fatal
180,Fatal
181,Fatal
182,Fatal
183,Fatal
184,Fatal
185,Fatal
186,Fatal
187,Fatal
188,Fatal
189,Fatal
190,Fatal
191,Fatal
192,Fatal
193,Fatal
194,Fatal
195,Fatal
196,Fatal
197,Fatal
198,Fatal
199,Fatal
200,Fatal
201,Fatal
202,Fatal
203,Fatal
204,Fatal
205,Fatal
206,Fatal
207,Fatal
208,Fatal
209,Fatal
210,Fatal
211,Fatal
212,Fatal
213,Fatal
214,Fatal
215,Fatal
216,Fatal
217,Fatal
218,Fatal
219,Fatal
220,Fatal
221,Fatal
222,Fatal
223,Fatal
224,Fatal
225,Fatal
226,Fatal
227,Fatal
228,Fatal
229,Fatal
230,Fatal
231,Fatal
232,Fatal
233,Fatal
234,Fatal
235,Fatal
236,Fatal
237,Fatal
238,Fatal
239,Fatal
240,Fatal
241,Fatal
242,Fatal
243,Fatal
244,Fatal
245,Fatal
246,Fatal
247,Fatal
248,Fatal
249,Fatal
250,Fatal
