,id_hecho,fecha,rol,vehiculo_victima,sexo_victima,edad_victima,gravedad,Victima_fatal,Victima_no_fatal
0,2016-0001,2016-01-01,CONDUCTOR,MOTO,MASCULINO,19.0,FATAL,1,0
1,2016-0002,2016-01-02,CONDUCTOR,AUTO,MASCULINO,70.0,FATAL,1,0
2,2016-0003,2016-01-03,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL,1,0
3,2016-0004,2016-01-10,CONDUCTOR,MOTO,MASCULINO,18.0,FATAL,1,0
4,2016-0005,2016-01-21,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL,1,0
5,2016-0008,2016-01-24,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL,1,0
6,2016-0009,2016-01-24,PASAJERO,MOTO,MASCULINO,29.0,FATAL,1,0
7,2016-0010,2016-01-29,CONDUCTOR,MOTO,MASCULINO,18.0,FATAL,1,0
8,2016-0012,2016-02-08,CONDUCTOR,MOTO,MASCULINO,22.0,FATAL,1,0
9,2016-0013,2016-02-10,PEATON,PEATON,MASCULINO,16.0,FATAL,1,0
10,2016-0015,2016-02-14,PEATON,PEATON,FEMENINO,16.0,FATAL,1,0
11,2016-0016,2016-02-14,PASAJERO,MOTO,FEMENINO,19.0,FATAL,1,0
12,2016-0017,2016-02-15,PEATON,PEATON,MASCULINO,59.0,FATAL,1,0
13,2016-0019,2016-02-17,PEATON,PEATON,FEMENINO,65.0,FATAL,1,0
14,2016-0020,2016-02-17,PEATON,PEATON,MASCULINO,59.0,FATAL,1,0
15,2016-0021,2016-02-17,CONDUCTOR,AUTO,MASCULINO,34.0,FATAL,1,0
16,2016-0022,2016-02-21,PASAJERO,MOTO,MASCULINO,41.0,FATAL,1,0
17,2016-0025,2016-02-28,PASAJERO,AUTO,MASCULINO,34.0,FATAL,1,0
18,2016-0026,2016-02-28,CONDUCTOR,AUTO,MASCULINO,30.0,FATAL,1,0
19,2016-0027,2016-02-28,PASAJERO,AUTO,MASCULINO,34.0,FATAL,1,0
20,2016-0028,2016-03-02,PEATON,PEATON,MASCULINO,50.0,FATAL,1,0
21,2016-0029,2016-03-04,PEATON,PEATON,MASCULINO,38.0,FATAL,1,0
22,2016-0031,2016-03-08,CONDUCTOR,MOTO,MASCULINO,21.0,FATAL,1,0
23,2016-0034,2016-03-12,PEATON,PEATON,MASCULINO,52.0,FATAL,1,0
